Order_ID,CustomerID,OrderDate,Category,Is_Discounted,平均毛利率,Amount,Gross_Profit,Acquisition_Channel,Region
1,C_441,2025-05-21,美妝,0,0.5,57.01,28.5,FB廣告,南部
2,C_194,2025-09-11,美妝,1,0.5,553.01,276.5,Google搜尋,東部
3,C_335,2025-02-12,家電,1,0.15,117.11,17.57,FB廣告,中部
4,C_203,2025-01-17,家電,1,0.15,64.5,9.67,FB廣告,南部
5,C_392,2025-03-04,食品,0,0.25,366.95,91.74,Google搜尋,中部
6,C_026,2025-09-10,家電,1,0.15,115.45,17.32,網紅推薦,北部
7,C_435,2025-10-19,服飾,0,0.6,919.92,551.95,FB廣告,南部
8,C_173,2025-01-08,美妝,1,0.5,160.96,80.48,Google搜尋,中部
9,C_300,2025-11-21,美妝,0,0.5,159.79,79.9,FB廣告,東部
10,C_133,2025-03-31,家電,0,0.15,82.59,12.39,FB廣告,中部
11,C_326,2025-07-27,食品,0,0.25,128.15,32.04,網紅推薦,東部
12,C_410,2025-10-19,家電,0,0.15,113.0,16.95,FB廣告,南部
13,C_118,2025-10-11,食品,0,0.25,561.93,140.48,FB廣告,北部
14,C_324,2025-04-28,服飾,1,0.6,198.26,118.96,FB廣告,東部
15,C_275,2025-12-15,美妝,0,0.5,300.53,150.26,Google搜尋,東部
16,C_212,2025-06-24,服飾,1,0.6,163.78,98.27,Google搜尋,南部
17,C_225,2025-03-17,美妝,0,0.5,98.4,49.2,FB廣告,南部
18,C_020,2025-04-11,服飾,0,0.6,215.08,129.05,FB廣告,東部
19,C_113,2025-05-31,家電,1,0.15,728.32,109.25,自然流量,東部
20,C_140,2025-09-27,服飾,0,0.6,52.02,31.21,自然流量,北部
21,C_047,2025-03-12,服飾,0,0.6,225.76,135.46,FB廣告,中部
22,C_001,2025-06-29,家電,1,0.15,662.87,99.43,FB廣告,北部
23,C_090,2025-05-04,美妝,0,0.5,65.71,32.85,Google搜尋,南部
24,C_142,2025-10-20,美妝,0,0.5,373.16,186.58,FB廣告,南部
25,C_320,2025-10-12,家電,1,0.15,373.59,56.04,FB廣告,東部
26,C_038,2025-07-14,服飾,0,0.6,40.68,24.41,FB廣告,北部
27,C_293,2025-08-16,服飾,1,0.6,450.54,270.32,網紅推薦,北部
28,C_382,2025-10-02,服飾,0,0.6,81.93,49.16,Google搜尋,北部
29,C_139,2025-04-16,食品,0,0.25,212.48,53.12,FB廣告,中部
30,C_356,2025-01-21,美妝,0,0.5,413.29,206.64,Google搜尋,東部
31,C_333,2025-03-05,服飾,1,0.6,492.79,295.67,FB廣告,南部
32,C_259,2025-06-14,美妝,0,0.5,31.95,15.98,Google搜尋,東部
33,C_161,2025-01-27,服飾,1,0.6,887.67,532.6,FB廣告,中部
34,C_390,2025-11-07,家電,0,0.15,612.73,91.91,網紅推薦,東部
35,C_178,2025-10-12,家電,0,0.15,424.93,63.74,FB廣告,中部
36,C_010,2025-05-28,美妝,1,0.5,213.04,106.52,網紅推薦,南部
37,C_261,2025-10-08,美妝,0,0.5,96.0,48.0,Google搜尋,南部
38,C_407,2025-11-22,家電,0,0.15,50.24,7.54,FB廣告,中部
39,C_138,2025-11-15,食品,0,0.25,29.26,7.32,網紅推薦,北部
40,C_172,2025-06-13,家電,0,0.15,282.74,42.41,FB廣告,東部
